입력번호,발전소명,년월,호기,황산화물기준,황산화물평균,질수산화물기준,질수산화물평균,먼지기준,먼지평균,발전소코드
75,태안,201410,8613,100,40.53391275,150,80.51576687,30,7.651214631,TA
76,태안,201410,8614,100,93.32248921,150,215.5302432,30,1010.614427,TA
77,태안,201410,8615,100,41.11847705,150,80.16174548,30,64.3611822,TA
78,태안,201410,8616,100,52.11596206,150,89.40750678,30,8.918597561,TA
79,태안,201410,8617,100,31.8874928,150,99.36445965,30,15.2982566,TA
80,태안,201410,8618,100,22.81256446,150,86.98809756,30,5.473579466,TA
81,태안,201411,8611,100,38.35414932,150,75.70860732,30,8.032817919,TA
82,태안,201411,8612,100,32.68173295,150,11.79065317,30,878.6011903,TA
83,태안,201411,8613,100,42.59603521,150,79.16521831,30,9.075789101,TA
84,태안,201411,8614,100,102.2509554,150,285.1407245,30,1471.504246,TA
85,태안,201411,8615,100,41.2581936,150,81.59012195,30,9.523820396,TA
86,태안,201411,8616,100,53.65699015,150,76.76132208,30,9.336910112,TA
87,태안,201411,8617,100,23.34034532,150,81.07093525,30,4.500406977,TA
88,태안,201411,8618,100,22.75861994,150,87.04800578,30,6.853001464,TA
89,태안,201412,8611,100,38.21993395,150,72.5931572,30,8.356284953,TA
90,태안,201412,8612,100,35.24820717,150,84.14428779,30,159.8761831,TA
91,태안,201412,8613,100,40.18022546,150,79.93931787,30,737.0148404,TA
92,태안,201412,8614,100,34.7200527,150,76.01193676,30,7.764298942,TA
93,태안,201412,8615,100,45.05040789,150,79.34334211,30,8.506631579,TA
94,태안,201412,8616,100,61.8981638,150,80.9297358,30,8.589471598,TA
95,태안,201412,8617,100,27.18064033,150,87.41395095,30,4.31439834,TA
96,태안,201412,8618,100,25.99567968,150,85.71952894,30,11.03548299,TA
97,평택,201401,8511,180,254.2012517,100,131.8424213,30,2352.239624,PY
98,평택,201401,8512,180,92.22598521,100,93.62749832,30,1998.722574,PY
99,평택,201401,8513,180,133.1638978,100,83.85663978,30,1052.797164,PY
100,평택,201401,8514,180,207.4725874,100,101.3392944,30,287.2173118,PY
101,평택,201401,8515,180,0,100,54.15465132,30,0,PY
102,평택,201401,8516,180,0,100,40.02426796,30,0,PY
103,평택,201401,8517,180,0,100,40.30213483,30,0,PY
104,평택,201401,8518,180,0,100,35.38009831,30,0,PY
105,평택,201401,8519,180,0,100,8.778649194,30,0,PY
106,평택,201401,851A,180,0,100,5.495168011,30,0,PY
107,평택,201402,8511,180,223.5553828,100,101.9492956,30,2151.076888,PY
108,평택,201402,8512,180,95.70206999,100,87.75069248,30,1572.357461,PY
109,평택,201402,8513,180,239.1072524,100,105.4384587,30,806.9428518,PY
110,평택,201402,8514,180,227.3936036,100,93.78528529,30,278.652204,PY
111,평택,201402,8515,180,0,100,85.69714612,30,0,PY
112,평택,201402,8516,180,0,100,30.34117468,30,0,PY
113,평택,201402,8517,180,0,100,30.50595497,30,0,PY
114,평택,201402,8518,180,0,100,20.60826087,30,0,PY
115,평택,201402,8519,180,0,100,3.443725782,30,0,PY
116,평택,201402,851A,180,0,100,3.822239583,30,0,PY
117,평택,201403,8511,180,175.4442236,100,121.4421946,30,810.1191734,PY
118,평택,201403,8512,180,36.63351515,100,68.77455219,30,140.6886653,PY
119,평택,201403,8513,180,591.1273046,100,80.50584906,30,588.9447782,PY
120,평택,201403,8514,180,159.3377254,100,85.5721467,30,163.8137366,PY
121,평택,201403,8515,180,0,100,32.70316971,30,0,PY
122,평택,201403,8516,180,0,100,29.14061053,30,0,PY
123,평택,201403,8517,180,0,100,25.76910541,30,0,PY
124,평택,201403,8518,180,0,100,17.98700619,30,0,PY
125,평택,201403,8519,180,0,100,19.63147268,30,0,PY
126,평택,201403,851A,180,0,100,20.21379597,30,0,PY
127,평택,201404,8511,180,162.7110295,100,85.56561555,30,1001.19196,PY
128,평택,201404,8512,180,17.73915738,100,76.79667827,30,236.02,PY
129,평택,201404,8513,180,294.6149444,100,59.31723922,30,311.62675,PY
130,평택,201404,8514,180,56.30077886,100,53.54710014,30,220.9067547,PY
131,평택,201404,8515,180,0,100,9.020703919,30,0,PY
132,평택,201404,8516,180,0,100,26.06052975,30,0,PY
133,평택,201404,8517,180,0,100,4.604153627,30,0,PY
134,평택,201404,8518,180,0,100,2.166593172,30,0,PY
135,평택,201405,8511,180,169.3137474,100,125.8031297,30,1199.856872,PY
136,평택,201405,8512,180,178.1019375,100,71.12493542,30,781.7050814,PY
137,평택,201405,8513,180,76.90458305,100,36.48893177,30,63.86357779,PY
138,평택,201405,8514,180,41.20381606,100,68.7535278,30,194.4272584,PY
139,평택,201405,8515,180,0,100,21.37500348,30,0,PY
140,평택,201405,8516,180,0,100,19.46494406,30,0,PY
141,평택,201405,8517,180,0,100,33.42883509,30,0,PY
142,평택,201405,8518,180,0,100,12.23293333,30,0,PY
143,평택,201405,8519,180,0,100,0,30,0,PY
144,평택,201406,8511,180,163.1665688,100,221.7927312,30,925.8089684,PY
145,평택,201406,8512,180,123.5050243,100,66.21414177,30,1194.528625,PY
146,평택,201406,8513,180,69.70982603,100,49.35112039,30,248.3543542,PY
147,평택,201406,8514,180,41.07981932,100,38.51089646,30,167.6481042,PY
148,평택,201406,8515,180,0,100,7.038061154,30,0,PY
149,평택,201406,8516,180,0,100,7.107838777,30,0,PY
150,평택,201406,8517,180,0,100,4.960149893,30,0,PY
151,평택,201406,8518,180,0,100,5.922264286,30,0,PY
152,평택,201406,8519,180,0,100,73.54558219,30,0,PY
153,평택,201406,851A,180,0,100,92.94883436,30,0,PY
154,평택,201407,8511,180,159.6289629,100,234.2353503,30,1558.261835,PY
155,평택,201407,8512,180,262.0575806,100,82.99206989,30,1323.800309,PY
156,평택,201407,8513,180,107.7840364,100,56.6037062,30,413.4949462,PY
157,평택,201407,8514,180,92.04513441,100,54.58040323,30,123.2834543,PY
158,평택,201407,8515,180,0,100,16.86222446,30,0,PY
159,평택,201407,8516,180,0,100,22.33262626,30,0,PY
160,평택,201407,8517,180,0,100,4.464919355,30,0,PY
161,평택,201407,8518,180,0,100,5.66558885,30,0,PY
162,평택,201407,8519,180,0,100,113.6286195,30,0,PY
163,평택,201407,851A,180,0,100,14.47993902,30,0,PY
164,평택,201408,8511,180,175.657737,100,225.0077232,30,247.8347984,PY
165,평택,201408,8512,180,23.90382578,100,56.55744948,30,404.9722849,PY
166,평택,201408,8513,180,78.41026918,100,45.49506057,30,274.2189852,PY
167,평택,201408,8514,180,110.7729859,100,99.36002017,30,201.7290927,PY
168,평택,201408,8515,180,0,100,4.861653226,30,0,PY
169,평택,201408,8516,180,0,100,6.128597475,30,0,PY
170,평택,201408,8517,180,0,100,1.625113872,30,0,PY
171,평택,201408,8518,180,0,100,0.778114525,30,0,PY
172,평택,201408,8519,180,0,100,16.6302814,30,0,PY
173,평택,201408,851A,180,0,100,11.64804959,30,0,PY
174,평택,201409,8511,180,171.9355745,100,182.6308865,30,310.4752917,PY
175,평택,201409,8512,180,34.15345139,100,84.46936111,30,753.6541528,PY
176,평택,201409,8513,180,65.32480195,100,32.49028492,30,243.7202708,PY
177,평택,201409,8514,180,91.12532684,100,41.67942976,30,184.4252847,PY
178,평택,201409,8515,180,0,100,10.72434907,30,0,PY
179,평택,201409,8516,180,0,100,2.925480839,30,0,PY
180,평택,201409,8517,180,0,100,2.384806202,30,0,PY
181,평택,201409,8518,180,0,100,1.267788595,30,0,PY
182,평택,201409,8519,180,0,100,11.78868497,30,0,PY
183,평택,201409,851A,180,0,100,10.81612671,30,0,PY
184,평택,201410,8511,180,184.4121443,100,198.9453677,30,335.0416868,PY
185,평택,201410,8512,180,42.10965633,100,61.96475741,30,567.5437433,PY
186,평택,201410,8513,180,59.15524546,100,42.84475454,30,278.9596707,PY
187,평택,201410,8514,180,97.16694687,100,41.2064156,30,211.9192272,PY
188,평택,201410,8515,180,0,100,8.262726639,30,0,PY
189,평택,201410,8516,180,0,100,5.461147766,30,0,PY
190,평택,201410,8517,180,0,100,5.670243737,30,0,PY
191,평택,201410,8518,180,0,100,2.214246299,30,0,PY
192,평택,201410,8519,180,0,100,6.897956989,30,0,PY
193,평택,201410,851A,180,0,100,5.878736559,30,0,PY
194,평택,201411,8511,180,210.2367302,100,70.52969208,30,242.4077263,PY
195,평택,201411,8512,180,29.06050542,100,89.63069314,30,886.8853721,PY
196,평택,201411,8513,180,103.6854486,100,88.46477024,30,312.9250636,PY
197,평택,201411,8514,180,257.6943261,100,102.5793406,30,255.5365559,PY
198,평택,201411,8515,180,0,100,4.112128571,30,0,PY
199,평택,201411,8516,180,0,100,4.179490085,30,0,PY
200,평택,201411,8517,180,0,100,12.33954513,30,0,PY
201,평택,201411,8518,180,0,100,9.562932862,30,0,PY
202,평택,201411,8519,180,0,100,6.702531293,30,0,PY
203,평택,201411,851A,180,0,100,6.734690757,30,0,PY
